id,item_id,dept_id,cat_id,store_id,state_id,d,sales_units,date,wm_yr_wk,weekday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,sell_price
HOBBIES_1_234_CA_3_validation,HOBBIES_1_234,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,52,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.3
HOBBIES_1_348_CA_1_validation,HOBBIES_1_348,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,0,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_371_CA_1_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,9,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_254_CA_3_validation,HOBBIES_1_254,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,8,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.7
HOBBIES_1_371_CA_3_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,4,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_348_CA_3_validation,HOBBIES_1_348,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,1,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_268_CA_1_validation,HOBBIES_1_268,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,1,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_341_CA_3_validation,HOBBIES_1_341,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,0,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_015_CA_3_validation,HOBBIES_1_015,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,1,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.7
HOBBIES_1_268_CA_3_validation,HOBBIES_1_268,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,1,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_008_CA_3_validation,HOBBIES_1_008,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,8,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_178_CA_1_validation,HOBBIES_1_178,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,1,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_256_CA_1_validation,HOBBIES_1_256,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,10,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOBBIES_1_254_CA_1_validation,HOBBIES_1_254,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,10,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.7
HOBBIES_1_233_CA_3_validation,HOBBIES_1_233,HOBBIES_1,HOBBIES,CA_3,CA,d_1549,9,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.7
HOBBIES_1_370_CA_1_validation,HOBBIES_1_370,HOBBIES_1,HOBBIES,CA_1,CA,d_1549,0,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.48
HOUSEHOLD_1_118_CA_3_validation,HOUSEHOLD_1_118,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,30,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.97
HOUSEHOLD_1_459_CA_3_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,27,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_334_CA_3_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,48,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_303_CA_3_validation,HOUSEHOLD_1_303,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,28,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.97
HOUSEHOLD_1_521_CA_3_validation,HOUSEHOLD_1_521,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,24,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.97
HOUSEHOLD_1_459_WI_2_validation,HOUSEHOLD_1_459,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_1549,12,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_465_CA_3_validation,HOUSEHOLD_1_465,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,31,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_351_CA_3_validation,HOUSEHOLD_1_351,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,20,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_019_CA_3_validation,HOUSEHOLD_1_019,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,28,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_110_WI_2_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_1549,18,2015-04-26,11513,Sunday,4,2015,,,0,0,0,3.84
HOUSEHOLD_1_277_CA_3_validation,HOUSEHOLD_1_277,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,19,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_339_CA_3_validation,HOUSEHOLD_1_339,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,14,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_110_CA_3_validation,HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,31,2015-04-26,11513,Sunday,4,2015,,,0,0,0,3.84
HOUSEHOLD_1_334_WI_2_validation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_1549,9,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
HOUSEHOLD_1_535_CA_3_validation,HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,11,2015-04-26,11513,Sunday,4,2015,,,0,0,0,6.97
HOUSEHOLD_1_447_CA_3_validation,HOUSEHOLD_1_447,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1549,18,2015-04-26,11513,Sunday,4,2015,,,0,0,0,0.98
FOODS_3_090_CA_3_validation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_1549,139,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.48
FOODS_3_586_TX_2_validation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_1549,103,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_586_TX_3_validation,FOODS_3_586,FOODS_3,FOODS,TX_3,TX,d_1549,96,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_586_CA_3_validation,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,d_1549,85,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_1549,66,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.48
FOODS_3_090_WI_3_validation,FOODS_3_090,FOODS_3,FOODS,WI_3,WI,d_1549,120,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.38
FOODS_3_090_TX_2_validation,FOODS_3_090,FOODS_3,FOODS,TX_2,TX,d_1549,101,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.48
FOODS_3_090_TX_3_validation,FOODS_3_090,FOODS_3,FOODS,TX_3,TX,d_1549,58,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.48
FOODS_3_252_TX_2_validation,FOODS_3_252,FOODS_3,FOODS,TX_2,TX,d_1549,82,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.58
FOODS_3_586_TX_1_validation,FOODS_3_586,FOODS_3,FOODS,TX_1,TX,d_1549,51,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_226_WI_3_validation,FOODS_3_226,FOODS_3,FOODS,WI_3,WI,d_1549,43,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_555_TX_2_validation,FOODS_3_555,FOODS_3,FOODS,TX_2,TX,d_1549,53,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_090_TX_1_validation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,d_1549,63,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.48
FOODS_3_120_CA_3_validation,FOODS_3_120,FOODS_3,FOODS,CA_3,CA,d_1549,60,2015-04-26,11513,Sunday,4,2015,,,0,0,0,4.98
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,FOODS,CA_1,CA,d_1549,57,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.68
FOODS_3_252_TX_3_validation,FOODS_3_252,FOODS_3,FOODS,TX_3,TX,d_1549,49,2015-04-26,11513,Sunday,4,2015,,,0,0,0,1.58
HOBBIES_1_234_CA_3_validation,HOBBIES_1_234,HOBBIES_1,HOBBIES,CA_3,CA,d_1550,56,2015-04-27,11513,Monday,4,2015,,,0,0,0,0.3
HOBBIES_1_348_CA_1_validation,HOBBIES_1_348,HOBBIES_1,HOBBIES,CA_1,CA,d_1550,6,2015-04-27,11513,Monday,4,2015,,,0,0,0,0.48
HOBBIES_1_371_CA_1_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,CA_1,CA,d_1550,24,2015-04-27,11513,Monday,4,2015,,,0,0,0,0.48
HOBBIES_1_254_CA_3_validation,HOBBIES_1_254,HOBBIES_1,HOBBIES,CA_3,CA,d_1550,5,2015-04-27,11513,Monday,4,2015,,,0,0,0,0.7
HOBBIES_1_371_CA_3_validation,HOBBIES_1_371,HOBBIES_1,HOBBIES,CA_3,CA,d_1550,12,2015-04-27,11513,Monday,4,2015,,,0,0,0,0.48
HOBBIES_1_348_CA_3_validation,HOBBIES_1_348,HOBBIES_1,HOBBIES,CA_3,CA,d_1550,3,2015-04-27,11513,Monday,4,2015,,,0,0,0,0.48
