Date,total_sales,total_customers,open_stores,promo_stores,year,month,day_of_week,avg_sales_per_store
2013-01-01,97235,19491,17,0,2013,1,2,5719.705882352941
2013-01-02,6949829,834075,1111,0,2013,1,3,6255.471647164716
2013-01-03,6347820,761040,1109,0,2013,1,4,5723.913435527502
2013-01-04,6638954,782137,1108,0,2013,1,5,5991.8357400722025
2013-01-05,5951593,687472,1107,0,2013,1,6,5376.326106594399
2013-01-06,143904,26387,19,0,2013,1,7,7573.894736842105
2013-01-07,10826848,1058495,1106,1115,2013,1,1,9789.19349005425
2013-01-08,8749437,904564,1105,1115,2013,1,2,7918.042533936652
2013-01-09,7746603,816709,1105,1115,2013,1,3,7010.500452488688
2013-01-10,7751485,844384,1105,1115,2013,1,4,7014.918552036199
2013-01-11,8039306,877397,1105,1115,2013,1,5,7275.390045248869
2013-01-12,6017491,697757,1105,0,2013,1,6,5445.693212669683
2013-01-13,144052,27044,18,0,2013,1,7,8002.888888888889
2013-01-14,5886788,734601,1105,0,2013,1,1,5327.409954751131
2013-01-15,5512591,690047,1105,0,2013,1,2,4988.770135746607
2013-01-16,5293020,660412,1105,0,2013,1,3,4790.06334841629
2013-01-17,5386564,673066,1107,0,2013,1,4,4865.911472448058
2013-01-18,6137010,740203,1106,0,2013,1,5,5548.833634719711
2013-01-19,6010192,679374,1107,0,2013,1,6,5429.261065943992
2013-01-20,151600,28040,19,0,2013,1,7,7978.9473684210525
2013-01-21,8761074,884062,1107,1115,2013,1,1,7914.249322493225
2013-01-22,8320289,868642,1107,1115,2013,1,2,7516.069557362241
2013-01-23,7746563,821843,1107,1115,2013,1,3,6997.798554652213
2013-01-24,7439836,811738,1108,1115,2013,1,4,6714.6534296028885
2013-01-25,7780789,847691,1108,1115,2013,1,5,7022.37274368231
2013-01-26,5848770,667571,1108,0,2013,1,6,5278.673285198556
2013-01-27,142848,27286,20,0,2013,1,7,7142.4
2013-01-28,5878702,736906,1107,0,2013,1,1,5310.480578139115
2013-01-29,5452668,670523,1107,0,2013,1,2,4925.626016260163
2013-01-30,5909779,699110,1108,0,2013,1,3,5333.735559566787
2013-01-31,7068567,802356,1108,0,2013,1,4,6379.5731046931405
2013-02-01,7203007,821946,1109,0,2013,2,5,6495.04688908927
2013-02-02,6781741,746460,1109,0,2013,2,6,6115.185752930568
2013-02-03,171565,30349,19,0,2013,2,7,9029.736842105263
2013-02-04,10333651,1018386,1109,1115,2013,2,1,9317.990081154194
2013-02-05,8841604,911976,1109,1115,2013,2,2,7972.591523895401
2013-02-06,8094803,868206,1109,1115,2013,2,3,7299.191163210099
2013-02-07,7430076,821626,1108,1115,2013,2,4,6705.84476534296
2013-02-08,7968566,867065,1109,1115,2013,2,5,7185.361587015329
2013-02-09,6161019,707682,1109,0,2013,2,6,5555.472497745717
2013-02-10,172564,31698,18,0,2013,2,7,9586.888888888889
2013-02-11,5517060,679056,1076,0,2013,2,1,5127.3791821561335
2013-02-12,5563503,689894,1106,0,2013,2,2,5030.292043399639
2013-02-13,6175147,754477,1109,0,2013,2,3,5568.2119026149685
2013-02-14,6422292,779567,1109,0,2013,2,4,5791.065825067629
2013-02-15,6255053,747284,1110,0,2013,2,5,5635.182882882883
2013-02-16,6162142,704367,1110,0,2013,2,6,5551.47927927928
2013-02-17,174467,31943,19,0,2013,2,7,9182.473684210527
2013-02-18,10703641,1055106,1111,1115,2013,2,1,9634.240324032404
2013-02-19,7988672,832307,1111,1115,2013,2,2,7190.523852385239
2013-02-20,7759768,829354,1111,1115,2013,2,3,6984.489648964896
2013-02-21,7611880,824817,1111,1115,2013,2,4,6851.377137713771
2013-02-22,7840974,847496,1112,1115,2013,2,5,7051.235611510791
2013-02-23,5637945,650724,1112,0,2013,2,6,5070.094424460432
2013-02-24,159057,30107,20,0,2013,2,7,7952.85
2013-02-25,5615365,711387,1112,0,2013,2,1,5049.788669064748
2013-02-26,5671238,709154,1112,0,2013,2,2,5100.034172661871
2013-02-27,6008503,722458,1112,0,2013,2,3,5403.330035971223
2013-02-28,7108972,819576,1112,0,2013,2,4,6392.9604316546765
2013-03-01,7244231,839658,1112,0,2013,3,5,6514.596223021583
2013-03-02,6779350,762452,1112,0,2013,3,6,6096.537769784172
2013-03-03,195229,34977,21,0,2013,3,7,9296.619047619048
2013-03-04,11072682,1097894,1111,1115,2013,3,1,9966.410441044105
2013-03-05,8943536,944806,1109,1115,2013,3,2,8064.504959422903
2013-03-06,8062941,877406,1109,1115,2013,3,3,7270.4607754734
2013-03-07,7981811,877268,1109,1115,2013,3,4,7197.304779080252
2013-03-08,8118153,894141,1109,1115,2013,3,5,7320.246167718666
2013-03-09,6061383,695319,1109,0,2013,3,6,5465.629395852119
2013-03-10,164917,29963,21,0,2013,3,7,7853.190476190476
2013-03-11,6194538,744922,1109,0,2013,3,1,5585.697024346258
2013-03-12,5338418,660813,1109,0,2013,3,2,4813.722272317403
2013-03-13,5830737,711036,1109,0,2013,3,3,5257.652840396754
2013-03-14,6098093,738971,1109,0,2013,3,4,5498.731289449955
2013-03-15,6783348,798499,1109,0,2013,3,5,6116.63480613165
2013-03-16,6459058,733085,1110,0,2013,3,6,5818.971171171172
2013-03-17,193072,34420,24,0,2013,3,7,8044.666666666667
2013-03-18,10078195,999770,1111,1115,2013,3,1,9071.282628262827
2013-03-19,8528292,887823,1111,1115,2013,3,2,7676.230423042304
2013-03-20,7728892,820715,1111,1115,2013,3,3,6956.698469846985
2013-03-21,7897067,861321,1111,1115,2013,3,4,7108.071107110711
2013-03-22,8245992,901334,1111,1115,2013,3,5,7422.13501350135
2013-03-23,6337911,713493,1111,0,2013,3,6,5704.690369036904
2013-03-24,191036,34607,28,0,2013,3,7,6822.714285714285
2013-03-25,10482556,1044999,1110,1115,2013,3,1,9443.744144144144
2013-03-26,9305505,964981,1110,1115,2013,3,2,8383.337837837838
2013-03-27,9674698,1001042,1110,1115,2013,3,3,8715.944144144145
2013-03-28,11417987,1177111,1110,1115,2013,3,4,10286.474774774775
2013-03-29,213921,35775,16,1115,2013,3,5,13370.0625
2013-03-30,9380402,1020089,1111,0,2013,3,6,8443.206120612062
2013-03-31,176418,30772,30,0,2013,3,7,5880.6
2013-04-01,241076,41594,31,0,2013,4,1,7776.645161290323
2013-04-02,7362049,894066,1109,0,2013,4,2,6638.457168620379
2013-04-03,6406442,778768,1109,0,2013,4,3,5776.7736699729485
2013-04-04,6496112,789540,1109,0,2013,4,4,5857.630297565374
2013-04-05,6622062,788012,1109,0,2013,4,5,5971.201082055906
2013-04-06,6171054,714351,1109,0,2013,4,6,5564.5211902614965
2013-04-07,189097,35217,31,0,2013,4,7,6099.903225806452
2013-04-08,10115602,1031717,1108,1115,2013,4,1,9129.604693140795
2013-04-09,8418477,894836,1108,1115,2013,4,2,7597.9034296028885
2013-04-10,7698779,830819,1109,1115,2013,4,3,6942.091073038774
2013-04-11,7580421,841356,1108,1115,2013,4,4,6841.535198555956
2013-04-12,8056347,890127,1109,1115,2013,4,5,7264.51487826871
2013-04-13,6024315,711341,1109,0,2013,4,6,5432.204688908927
2013-04-14,182641,35242,31,0,2013,4,7,5891.645161290323
2013-04-15,5711125,742981,1109,0,2013,4,1,5149.797114517583
2013-04-16,5668517,729645,1109,0,2013,4,2,5111.376916140667
2013-04-17,5556697,713577,1109,0,2013,4,3,5010.547339945897
2013-04-18,5726233,730564,1109,0,2013,4,4,5163.420198376916
2013-04-19,6349901,773215,1109,0,2013,4,5,5725.789900811542
2013-04-20,6006147,700925,1109,0,2013,4,6,5415.822362488729
2013-04-21,188406,34839,30,0,2013,4,7,6280.2
2013-04-22,9542000,988277,1109,1115,2013,4,1,8604.147880973851
2013-04-23,8047511,873417,1109,1115,2013,4,2,7256.547339945897
2013-04-24,7177730,810410,1109,1115,2013,4,3,6472.254283137962
2013-04-25,7121467,818307,1110,1115,2013,4,4,6415.736036036036
2013-04-26,7652433,843014,1110,1115,2013,4,5,6894.0837837837835
2013-04-27,6308284,713490,1109,0,2013,4,6,5688.263300270514
2013-04-28,205232,37232,31,0,2013,4,7,6620.387096774193
2013-04-29,10040182,1011283,1110,1115,2013,4,1,9045.20900900901
2013-04-30,10565093,1084203,1110,1115,2013,4,2,9518.101801801802
2013-05-01,200972,34845,18,1115,2013,5,3,11165.111111111111
2013-05-02,9884371,1046612,1111,1115,2013,5,4,8896.823582358236
2013-05-03,8967338,975031,1111,1115,2013,5,5,8071.411341134113
2013-05-04,6487719,752844,1111,0,2013,5,6,5839.53105310531
2013-05-05,200337,38101,32,0,2013,5,7,6260.53125
2013-05-06,6884920,839634,1110,0,2013,5,1,6202.630630630631
2013-05-07,6697752,802206,1111,0,2013,5,2,6028.579657965796
2013-05-08,7693180,918105,1111,0,2013,5,3,6924.554455445545
2013-05-09,233215,41089,30,0,2013,5,4,7773.833333333333
2013-05-10,8481406,970014,1111,0,2013,5,5,7634.028802880288
2013-05-11,6658662,770286,1112,0,2013,5,6,5988.005395683454
2013-05-12,215592,38757,31,0,2013,5,7,6954.580645161291
2013-05-13,9826496,1005960,1112,1115,2013,5,1,8836.776978417267
2013-05-14,8662237,925698,1112,1115,2013,5,2,7789.781474820144
2013-05-15,7767784,852041,1112,1115,2013,5,3,6985.417266187051
2013-05-16,7884887,869585,1112,1115,2013,5,4,7090.72571942446
2013-05-17,8225841,906276,1112,1115,2013,5,5,7397.339028776978
2013-05-18,6410461,739439,1112,0,2013,5,6,5764.803057553957
2013-05-19,226808,40462,31,0,2013,5,7,7316.387096774193
2013-05-20,253936,44288,33,0,2013,5,1,7695.030303030303
2013-05-21,7204456,865862,1111,0,2013,5,2,6484.6588658865885
2013-05-22,6085235,728918,1112,0,2013,5,3,5472.333633093525
2013-05-23,6209485,756187,1112,0,2013,5,4,5584.069244604317
2013-05-24,6483138,783354,1112,0,2013,5,5,5830.160071942446
2013-05-25,5806559,671302,1112,0,2013,5,6,5221.72571942446
2013-05-26,201681,36076,31,0,2013,5,7,6505.8387096774195
