Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,total_sales,total_customers,avg_daily_sales,avg_daily_customers,operating_days
1,c,a,1270.0,9.0,2008.0,0,,,,3716854,440523,4759.096030729834,564.0499359795134,781
2,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3883858,457855,4953.900510204082,583.9987244897959,784
3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5408261,584310,6942.568677792041,750.0770218228498,779
4,c,c,620.0,9.0,2009.0,0,,,,7556507,1036254,9638.401785714286,1321.7525510204082,784
5,a,a,29910.0,4.0,2015.0,0,,,,3642818,418588,4676.274711168165,537.3401797175867,779
6,a,a,310.0,12.0,2013.0,0,,,,4297758,495483,5509.946153846154,635.2346153846154,780
7,a,c,24000.0,4.0,2013.0,0,,,,6930202,745569,8817.050890585242,948.5610687022901,786
8,a,a,7520.0,10.0,2014.0,0,,,,4342857,516027,5539.3584183673465,658.1977040816327,784
9,a,c,2030.0,8.0,2000.0,0,,,,5112061,451677,6562.337612323492,579.8164313222079,779
10,a,a,3160.0,9.0,2009.0,0,,,,4365642,465661,5568.4209183673465,593.9553571428571,784
11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",6296286,885992,8030.977040816327,1130.091836734694,784
12,a,c,1070.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct",5950245,703211,7589.598214285715,896.952806122449,784
13,d,a,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",3126578,237740,5034.747181964573,382.8341384863124,621
14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",4291174,491913,5508.567394094994,631.4672657252888,779
15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5231510,520107,6672.844387755102,663.4017857142857,784
16,a,c,3270.0,,,0,,,,5967891,662375,7680.683397683398,852.4774774774775,777
17,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",4954488,619090,6335.6624040920715,791.6751918158568,782
18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",5130137,557785,6560.277493606138,713.2800511508951,782
19,a,c,3240.0,,,1,22.0,2011.0,"Mar,Jun,Sept,Dec",5036169,486618,6464.915275994866,624.6700898587933,779
20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4801543,525258,7756.9353796445885,848.5589660743134,619
21,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",4259763,401213,5482.320463320463,516.3616473616473,777
22,a,a,1040.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2801506,312129,4525.857835218094,504.2471728594507,619
23,d,a,4060.0,8.0,2005.0,0,,,,4300299,375818,5520.281129653402,482.43645699614893,779
24,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",7313475,650800,9388.28626444159,835.4300385109115,779
25,c,a,430.0,4.0,2003.0,0,,,,8376557,1177772,11139.038563829787,1566.186170212766,752
26,d,a,2300.0,,,0,,,,5217266,434849,6671.695652173913,556.0728900255755,782
27,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",7383809,837237,9478.57381258023,1074.7586649550706,779
28,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",4080950,448196,5293.060959792478,581.3177691309987,771
29,d,c,2170.0,,,0,,,,5737160,509233,7364.775353016688,653.7008985879332,779
30,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",4114046,603828,5294.782496782497,777.1274131274131,777
31,d,c,9800.0,7.0,2012.0,0,,,,4596143,459464,5862.427295918367,586.0510204081633,784
32,a,a,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",2526117,296333,4067.8212560386473,477.1867954911433,621
33,a,c,1320.0,5.0,2013.0,0,,,,6572158,651485,8436.659820282413,836.3093709884467,779
34,c,a,2240.0,9.0,2009.0,0,,,,6296685,778872,8031.485969387755,993.4591836734694,784
35,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",7558693,568401,9703.071887034659,729.6546854942234,779
36,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",5824183,678178,9363.638263665594,1090.3183279742766,622
37,c,a,4230.0,12.0,2014.0,0,,,,5549053,609251,7114.170512820513,781.0910256410257,780
38,d,a,1090.0,4.0,2007.0,0,,,,4677617,417034,6004.643132220795,535.3453145057766,779
39,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov",3780153,490471,4852.571245186136,629.6161745827984,779
40,a,a,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",3804215,515125,4902.3389175257735,663.8208762886597,776
41,d,c,1180.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3318407,247531,5335.059485530546,397.959807073955,622
42,a,c,290.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct",7928768,856938,10178.136071887035,1100.0487804878048,779
43,d,a,4880.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",5315050,475314,6822.9139922978175,610.1591784338896,779
44,a,a,540.0,6.0,2011.0,0,,,,4295144,501806,5478.5,640.0586734693877,784
45,d,a,9710.0,2.0,2014.0,0,,,,4166458,323582,5348.469833119384,415.38125802310657,779
46,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3329125,410832,5352.290996784566,660.5016077170418,622
47,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",5601760,721790,7145.102040816327,920.6505102040817,784
48,a,a,1060.0,5.0,2012.0,0,,,,3085014,336519,3934.966836734694,429.2334183673469,784
49,d,c,18010.0,9.0,2007.0,0,,,,5675296,413137,7304.113256113256,531.7078507078508,777
50,d,a,6260.0,11.0,2009.0,0,,,,3315479,279505,4256.070603337613,358.7997432605905,779
51,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",4152028,309126,6675.286173633441,496.9871382636656,622
52,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct",4607742,313176,7407.945337620578,503.4983922829582,622
53,a,c,30360.0,9.0,2013.0,0,,,,4127609,444300,5264.807397959184,566.7091836734694,784
54,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",6207418,573426,7907.538853503184,730.4789808917197,785
55,a,a,720.0,11.0,2004.0,0,,,,3587212,435992,4598.989743589744,558.9641025641025,780
56,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",5718290,395919,7321.754161331626,506.93854033290654,781
57,d,c,420.0,6.0,2014.0,0,,,,8155633,761161,10591.73116883117,988.5207792207792,770
58,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",3947427,319691,6336.158908507223,513.1476725521669,623
59,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",4302026,441060,5501.312020460358,564.0153452685422,782
60,d,c,5540.0,10.0,2009.0,0,,,,6265808,556509,8033.087179487179,713.473076923077,780
61,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3668998,444241,4722.005148005148,571.7387387387388,777
62,a,a,2050.0,,,0,,,,5066512,559309,6503.86649550706,717.9833119383825,779
63,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",5453808,500860,6956.3877551020405,638.8520408163265,784
64,d,c,22560.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct",8070070,617633,10359.525032092426,792.8536585365854,779
65,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3988058,355602,5112.8948717948715,455.9,780
66,d,a,7660.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",4750858,407192,6114.360360360361,524.056628056628,777
67,a,c,410.0,2.0,2006.0,0,,,,6083079,620297,7828.930501930502,798.3230373230373,777
68,a,c,250.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec",5929590,903132,7563.252551020408,1151.954081632653,784
69,c,c,1130.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct",7362059,924441,9426.451984635083,1183.663252240717,781
70,c,c,4840.0,,,0,,,,5167478,531054,6608.028132992327,679.0971867007672,782
71,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",7058595,581851,9061.09756097561,746.9204107830552,779
72,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2753676,295838,4420.025682182985,474.86035313001605,623
73,a,c,1650.0,9.0,2008.0,0,,,,3588351,387402,4576.978316326531,494.13520408163265,784
74,a,a,330.0,,,0,,,,4855145,662877,6256.630154639175,854.2229381443299,776
75,d,c,22440.0,12.0,2013.0,0,,,,4722388,503438,6023.4540816326535,642.140306122449,784
76,d,c,19960.0,3.0,2006.0,0,,,,5606718,578204,8999.54735152488,928.0963081861959,623
77,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",5952383,517673,7621.489116517286,662.8335467349552,781
78,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2899629,385990,3717.473076923077,494.85897435897436,780
79,a,a,3320.0,,,0,,,,4253485,435499,5474.240669240669,560.4877734877734,777
80,d,a,7910.0,,,0,,,,5933077,450064,7616.2734274711165,577.7458279845956,779
81,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4345098,349252,6985.688102893891,561.4983922829582,622
82,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",7026310,653238,9019.653401797175,838.5596919127086,779
83,a,a,2710.0,,,0,,,,3028523,269409,3887.7060333761233,345.8395378690629,779
84,a,c,11810.0,8.0,2014.0,0,,,,10092722,1084610,12955.997432605905,1392.3106546854942,779
85,b,a,1870.0,10.0,2011.0,0,,,,6850652,956508,7272.454352441614,1015.4012738853503,942
86,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3652727,470659,4695.021850899743,604.9601542416452,778
87,a,a,560.0,12.0,2010.0,0,,,,4598287,578159,5865.161989795918,737.4477040816327,784
88,a,a,10690.0,10.0,2005.0,0,,,,4699058,478523,6024.433333333333,613.4910256410257,780
89,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3714173,388237,5971.33922829582,624.1752411575562,622
90,a,a,330.0,11.0,2007.0,0,,,,6548246,822393,8416.768637532134,1057.060411311054,778
91,c,a,2410.0,,,1,35.0,2011.0,"Jan,Apr,Jul,Oct",4324904,477638,5559.002570694088,613.9305912596401,778
92,c,a,240.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",4671417,426158,5996.684210526316,547.0577663671373,779
93,a,a,16690.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct",4646872,470169,5965.175866495507,603.5545571245186,779
94,d,c,14620.0,,,0,,,,5547371,498672,7121.14377406932,640.1437740693196,779
95,a,a,1890.0,10.0,2014.0,0,,,,5958064,658101,7638.54358974359,843.7192307692308,780
96,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",4037973,423364,5176.888461538461,542.774358974359,780
97,d,c,8980.0,,,0,,,,5228649,537288,6703.3961538461535,688.8307692307692,780
98,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3980584,351785,5109.863928112965,451.5853658536585,779
99,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3191184,289554,5130.520900321543,465.5209003215434,622
100,d,a,17930.0,,,0,,,,4826434,415849,7964.412541254125,686.2194719471947,606
